Município;População;Escolarização;IDHM;Ruralidade_percentual
Amparo do São Francisco;2386;97,4;0,611;20
Aquidabã;21796;98,6;0,578;43
Aracaju;672614;97,4;0,77;0
Arauá;9840;98,3;0,595;59
Areia Branca;18825;98;0,579;52
Barra dos Coqueiros;31439;91,7;0,649;17
Boquim;26980;97,6;0,604;38
Brejo Grande;8396;98,5;0,54;49
Campo do Brito;18325;98,2;0,621;51
Canhoba;4003;98,1;0,569;63
Canindé de São Francisco;30894;96,8;0,567;44
Capela;34808;96,3;0,615;36
Carira;22393;98,2;0,588;45
Carmópolis;17232;97,3;0,643;21
Cedro de São João;5929;99,1;0,623;11
Cristinápolis;18181;97,5;0,553;50
Cumbe;4008;99;0,604;41
Divina Pastora;5290;98,2;0,61;52
Estância;69919;98,6;0,647;15
Feira Nova;5617;96,7;0,584;33
Frei Paulo;15688;96,9;0,589;41
Gararu;11599;95,6;0,564;76
General Maynard;3421;97,7;0,645;38
Gracho Cardoso;5831;96;0,577;53
Ilha das Flores;8522;97,9;0,562;35
Indiaroba;18337;98,3;0,58;65
Itabaiana;96839;96,4;0,642;23
Itabaianinha;42399;98;0,556;51
Itabi;4869;96,2;0,602;45
Itaporanga d'Ajuda;35054;90,4;0,561;61
Japaratuba;19067;98;0,621;54
Japoatã;13422;97,7;0,56;67
Lagarto;106015;98;0,625;49
Laranjeiras;30327;96,1;0,642;21
Macambira;7002;95,6;0,583;53
Malhada dos Bois;3715;97,5;0,599;54
Malhador;12689;97,6;0,587;54
Maruim;17328;98,3;0,618;27
Moita Bonita;11361;96,8;0,587;59
Monte Alegre de Sergipe;15315;96,2;0,553;41
Muribeca;7653;99;0,626;56
Neópolis;18688;92,9;0,589;44
Nossa Senhora Aparecida;8822;96,8;0,577;60
Nossa Senhora da Glória;37715;98;0,587;34
Nossa Senhora das Dores;26957;98,1;0,6;35
Nossa Senhora de Lourdes;6509;98;0,598;48
Nossa Senhora do Socorro;187733;96,4;0,664;4
Pacatuba;14650;97,4;0,555;80
Pedra Mole;3309;96,5;0,593;60
Pedrinhas;9727;97,5;0,592;27
Pinhão;6678;97;0,583;45
Pirambu;9436;96,8;0,603;42
Poço Redondo;35461;96,8;0,529;73
Poço Verde;24003;98,8;0,561;44
Porto da Folha;28788;97,1;0,568;64
Propriá;29756;99,6;0,661;15
Riachão do Dantas;19813;94,4;0,539;75
Riachuelo;10354;98,5;0,617;17
Ribeirópolis;18891;98,5;0,613;31
Rosário do Catete;11158;97,4;0,631;30
Salgado;20051;97,9;0,609;66
Santa Luzia do Itanhy;14205;97,3;0,545;78
Santana do São Francisco;7906;99,6;0,59;43
Santa Rosa de Lima;3933;98,7;0,592;36
Santo Amaro das Brotas;12200;97,6;0,637;29
São Cristóvão;92090;97,7;0,662;16
São Domingos;11276;97;0,588;50
São Francisco;3837;98,1;0,587;30
São Miguel do Aleixo;3964;98,1;0,567;53
Simão Dias;40724;98,8;0,604;48
Siriri;9046;98,9;0,609;61
Telha;3271;99,5;0,604;62
Tobias Barreto;52861;94,3;0,557;33
Tomar do Geru;13534;97,6;0,551;63
Umbaúba;25800;98,2;0,579;38
